"Meta","k","Est","Pval","Tau","Porig","Psignif.agree","Percent above 0","Percent above 0.1","Percent above 0.2","Percent above 0 unrounded","Percent above 0.1 unrounded","Percent above 0.2 unrounded","Pval.unrounded","Porig.unrounded","Psignif.agree.unrounded","robu.error","subset"
"Risen, Revised",4,"-0.01 [-0.18, 0.16]","0.873",0.01,"0.056",0.83,"0","0","0",0,0,0,0.873129071402726,0.0555552450121535,0.834611442251802,NA,"Revised"
"Shnabel, all",16,"0.05 [0.02, 0.09]","0.009",0,"0.038",0.99,"100","0","0",100,0,0,0.00893420854769911,0.0380079635560284,0.988046102537564,NA,"all"
"Shnabel, RP:P",8,"0.02 [-0.03, 0.08]","0.383",0,"0.018",0.98,"100","0","0",100,0,0,0.382864609781866,0.0179458363796745,0.984295540630514,NA,"RP:P"
"Shnabel, Revised",8,"0.09 [0.03, 0.14]","0.008",0,"0.080",0.98,"100","0","0",100,0,0,0.00808692221606044,0.0799961848942723,0.984179526899362,NA,"Revised"
"van Dijk, all",10,"0.1 [-0.01, 0.20]","0.065",0.01,"0.006",1,"100","40 [0, 100]","0",1,0.4,0,0.0653902390698242,0.0061679211087009,0.997596246760038,NA,"all"
"van Dijk, RP:P",6,"0.06 [-0.06, 0.19]","0.238",0,"0.002",1,"100","0","0",100,0,0,0.238489769927841,0.00245941356749357,0.997170050030664,NA,"RP:P"
"van Dijk, Revised",4,"0.23 [-0.03, 0.45]","0.065",0,"0.189",0.97,"100","100","100",100,100,100,0.0654174798420302,0.188746392273181,0.970375650802992,NA,"Revised"
"Vohs, all",9,"0.04 [-0.06, 0.15]","0.366",0.06,"0.014",0.98,"78","22 [0, 100]","0",0.777777777777778,0.222222222222222,0,0.366139089859311,0.0143286982932349,0.984175891105199,NA,"all"
"Vohs, RP:P",4,"0.04 [-0.15, 0.23]","0.548",0,"0.012",0.98,"100","0","0",100,0,0,0.548217897112309,0.0118110294957881,0.983850780146751,NA,"RP:P"
"Vohs, Revised",5,"0.05 [-0.16, 0.25]","0.546",0.11,"0.033",0.94,"80","20 [0, 100]","0",0.8,0.2,0,0.546076111163657,0.033033384778874,0.940243129674408,NA,"Revised"
