"Meta","k","Est","Pval","Tau","Porig","Psignif.agree","Percent.above.0","Percent.above.0.1","Percent.above.0.2","Percent.above.0.unrounded","Percent.above.0.1.unrounded","Percent.above.0.2.unrounded","Porig.unrounded","Psignif.agree.unrounded","robu.error","subset","too.small"
"Payne, RP:P",4,"0.05 [-0.13, 0.22]","0.46",0.07,0.03,0.94,"75 [0, 100]","50 [0, 100]","0",0.75,0.5,0,0.0324170630136771,0.942310396945576,NA,"RP:P",TRUE
"Payne, Revised",4,"-0.16 [-0.43, 0.14]","0.19",0.17,0.02,0.73,"25 [0, 50]","0","0",0.25,0,0,0.0228006765682227,0.734171980017893,NA,"Revised",TRUE
"Risen, all",5,"-0.04 [-0.14, 0.07]","0.20",0,0.02,0.96,"0","0","0",0,0,0,0.0160138016560658,0.956011369385875,NA,"all",FALSE
"Risen, RP:P",1,"-0.04 [-0.08, -0.01]","2e-02",0,0.01,0.95,"0","0","0",0,0,0,0.0137532837336634,0.946833117265136,"non-conformable arguments","RP:P",FALSE
"Risen, Revised",4,"-0.01 [-0.18, 0.16]","0.86",0.01,0.06,0.83,"25 [0, 100]","0","0",0.25,0,0,0.0558189030353569,0.831467454469548,NA,"Revised",TRUE
"Shnabel, all",16,"0.06 [0.02, 0.09]","9e-03",0,0.04,0.99,"100","0","0",100,0,0,0.0389139756746082,0.987912312101762,NA,"all",FALSE
"Shnabel, RP:P",8,"0.02 [-0.03, 0.08]","0.38",0,0.02,0.98,"100","0","0",100,0,0,0.0182367797144118,0.984065749894674,NA,"RP:P",FALSE
"Shnabel, Revised",8,"0.09 [0.03, 0.14]","8e-03",0,0.08,0.98,"100","0","0",100,0,0,0.0816218475683486,0.984097986826595,NA,"Revised",FALSE
"van Dijk, all",10,"0.11 [0.00, 0.21]","5e-02",0.05,0.02,0.99,"100","70 [0, 100]","0",1,0.7,0,0.0154369172268114,0.991357678297483,NA,"all",FALSE
"van Dijk, RP:P",6,"0.07 [-0.06, 0.19]","0.23",0.01,0,1,"100","0","0",1,0,0,0.00270708522094587,0.996886326763913,NA,"RP:P",TRUE
"van Dijk, Revised",4,"0.23 [-0.02, 0.46]","6e-02",0,0.2,0.97,"100","100","100",100,100,100,0.202745953726343,0.97415023517079,NA,"Revised",FALSE
"Vohs, all",9,"0.04 [-0.06, 0.15]","0.37",0.07,0.02,0.98,"78","22 [0, 100]","0",0.777777777777778,0.222222222222222,0,0.0163234711185944,0.980970106402103,NA,"all",TRUE
"Vohs, RP:P",4,"0.04 [-0.15, 0.23]","0.54",0,0.01,0.98,"100","0","0",100,0,0,0.0122952372855154,0.983217497691205,NA,"RP:P",FALSE
"Vohs, Revised",5,"0.05 [-0.16, 0.25]","0.54",0.12,0.04,0.93,"80","20 [0, 100]","0",0.8,0.2,0,0.0363972686747691,0.93429768734483,NA,"Revised",TRUE
